# Program:featureCounts v1.6.4; Command:"featureCounts" "-p" "-B" "-C" "-M" "-O" "-T" "8" "-t" "CDS" "-g" "gene_id" "-a" "/tmp/230574.1.all.q/genomes/tb927_11/tb927_11.gtf" "-o" "/tmp/230574.1.all.q/P_sub_2/counts.txt" "/tmp/230574.1.all.q/P_sub_2/P_sub_2_sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	/tmp/230574.1.all.q/P_sub_2/P_sub_2_sorted.bam
Tb927.8.200	Tb927_08_v5.1	32272	33285	+	1014	0
Tb927.8.210	Tb927_08_v5.1	33526	35076	+	1551	0
Tb927.8.220	Tb927_08_v5.1	36916	38436	+	1521	1
Tb927.8.230	Tb927_08_v5.1	39787	40887	+	1101	0
Tb927.8.240	Tb927_08_v5.1	41073	42557	+	1485	0
Tb927.8.250	Tb927_08_v5.1	43850	45373	+	1524	0
Tb927.8.260	Tb927_08_v5.1	46608	48053	+	1446	0
Tb927.8.270	Tb927_08_v5.1	62486	64021	+	1536	2
Tb927.8.280	Tb927_08_v5.1	65838	67268	+	1431	0
Tb927.8.290	Tb927_08_v5.1	69197	70714	+	1518	0
Tb927.8.300	Tb927_08_v5.1	72810	74210	+	1401	0
Tb927.8.310	Tb927_08_v5.1	75869	77278	+	1410	0
Tb927.8.320	Tb927_08_v5.1	84581	86011	+	1431	2
Tb927.8.330	Tb927_08_v5.1	87463	88974	+	1512	0
Tb927.8.340	Tb927_08_v5.1	90925	92415	+	1491	0
Tb927.8.350	Tb927_08_v5.1	94593	96173	+	1581	0
Tb927.8.360	Tb927_08_v5.1	98581	100053	+	1473	0
Tb927.8.370	Tb927_08_v5.1	101223	102323	+	1101	0
Tb927.8.380	Tb927_08_v5.1	102529	104019	+	1491	0
Tb927.8.390	Tb927_08_v5.1	105019	106005	+	987	0
Tb927.8.400	Tb927_08_v5.1	106153	107748	+	1596	0
Tb927.8.410	Tb927_08_v5.1	108919	110448	+	1530	0
Tb927.8.420	Tb927_08_v5.1	112157	113707	+	1551	0
Tb927.8.430	Tb927_08_v5.1	115234	116694	+	1461	0
Tb927.8.440	Tb927_08_v5.1	118408	119910	+	1503	0
Tb927.8.450	Tb927_08_v5.1	124234	125244	+	1011	0
Tb927.8.460	Tb927_08_v5.1	125412	126989	+	1578	0
Tb927.8.470	Tb927_08_v5.1	132810	134249	+	1440	2
Tb927.8.480	Tb927_08_v5.1	135693	136691	-	999	106
Tb927.8.490	Tb927_08_v5.1	138767	139618	-	852	127
Tb927.8.500	Tb927_08_v5.1	139718	140662	-	945	90
Tb927.8.510	Tb927_08_v5.1	141813	142628	-	816	136
Tb927.8.520	Tb927_08_v5.1	142728	143255	-	528	225
Tb927.8.530	Tb927_08_v5.1	148507	149241	-	735	88
Tb927.8.540	Tb927_08_v5.1	151635	158966	-	7332	2529
Tb927.8.550	Tb927_08_v5.1	159730	160263	-	534	1393
Tb927.8.560	Tb927_08_v5.1	160844	162577	-	1734	3333
Tb927.8.570	Tb927_08_v5.1	163209	164204	-	996	2877
Tb927.8.580	Tb927_08_v5.1	164621	165688	-	1068	2409
Tb927.8.590	Tb927_08_v5.1	166539	168575	-	2037	2593
Tb927.8.595	Tb927_08_v5.1	169489	169734	-	246	1684
Tb927.8.600	Tb927_08_v5.1	169984	170895	-	912	1920
Tb927.8.610	Tb927_08_v5.1	172338	174983	-	2646	2033
Tb927.8.620	Tb927_08_v5.1	175388	176569	-	1182	2494
Tb927.8.630	Tb927_08_v5.1	176866	178404	-	1539	2718
Tb927.8.640	Tb927_08_v5.1	178808	179149	-	342	1203
Tb927.8.650	Tb927_08_v5.1	179692	183477	-	3786	2527
Tb927.8.660	Tb927_08_v5.1	184411	185391	-	981	1018
Tb927.8.670	Tb927_08_v5.1	187367	188239	-	873	599
Tb927.8.680	Tb927_08_v5.1	188554	189063	-	510	1746
Tb927.8.690	Tb927_08_v5.1	190379	190726	-	348	1394
Tb927.8.700	Tb927_08_v5.1	191287	194265	-	2979	2456
Tb927.8.710	Tb927_08_v5.1	196484	200617	-	4134	5693
Tb927.8.720	Tb927_08_v5.1	203348	203830	-	483	3549
Tb927.8.730	Tb927_08_v5.1	204635	205396	-	762	3197
Tb927.8.740	Tb927_08_v5.1;Tb927_08_v5.1	206119;206200	206139;206277	-;-	99	423
Tb927.8.750	Tb927_08_v5.1	207159	208259	-	1101	2115
Tb927.8.760	Tb927_08_v5.1	208921	209907	-	987	5001
Tb927.8.770	Tb927_08_v5.1	211318	213237	-	1920	2771
Tb927.8.780	Tb927_08_v5.1	213736	216813	-	3078	2320
Tb927.8.790	Tb927_08_v5.1	217610	221509	-	3900	3393
Tb927.8.800	Tb927_08_v5.1	223044	229637	-	6594	1505
Tb927.8.810	Tb927_08_v5.1	231908	232909	-	1002	1839
Tb927.8.820	Tb927_08_v5.1	233701	235362	-	1662	2327
Tb927.8.830	Tb927_08_v5.1	237154	241713	-	4560	2473
Tb927.8.840	Tb927_08_v5.1	242762	246022	-	3261	2598
Tb927.8.850	Tb927_08_v5.1	247305	249641	-	2337	1785
Tb927.8.860	Tb927_08_v5.1	251405	252079	-	675	896
Tb927.8.870	Tb927_08_v5.1	257844	258734	-	891	352
Tb927.8.880	Tb927_08_v5.1	261157	263406	-	2250	1733
Tb927.8.890	Tb927_08_v5.1	266112	266738	-	627	1383
Tb927.8.900	Tb927_08_v5.1	270276	271262	-	987	671
Tb927.8.910	Tb927_08_v5.1	283743	285140	-	1398	26
Tb927.8.920	Tb927_08_v5.1	285874	286356	-	483	978
Tb927.8.930	Tb927_08_v5.1	287095	288507	-	1413	1676
Tb927.8.940	Tb927_08_v5.1	288901	295485	-	6585	1456
Tb927.8.950	Tb927_08_v5.1	297522	298934	-	1413	2013
Tb927.8.960	Tb927_08_v5.1	299328	305912	-	6585	1458
Tb927.8.970	Tb927_08_v5.1	307950	309329	-	1380	1430
Tb927.8.980	Tb927_08_v5.1	311464	313272	-	1809	2490
Tb927.8.990	Tb927_08_v5.1	316912	317868	-	957	2496
Tb927.8.1000	Tb927_08_v5.1	319329	320102	-	774	1290
Tb927.8.1010	Tb927_08_v5.1	320857	322329	-	1473	2555
Tb927.8.1020	Tb927_08_v5.1	323522	325630	-	2109	1607
Tb927.8.1030	Tb927_08_v5.1	326869	327750	-	882	1832
Tb927.8.1040	Tb927_08_v5.1	328540	328974	-	435	1257
Tb927.8.1050	Tb927_08_v5.1	330827	338788	-	7962	1699
Tb927.8.1060	Tb927_08_v5.1	339737	341962	-	2226	2394
Tb927.8.1070	Tb927_08_v5.1	342517	345171	-	2655	2590
Tb927.8.1080	Tb927_08_v5.1	345870	346460	-	591	1890
Tb927.8.1090	Tb927_08_v5.1	347671	349911	-	2241	2192
Tb927.8.1100	Tb927_08_v5.1	351667	354324	-	2658	3149
Tb927.8.1110	Tb927_08_v5.1	355680	356252	-	573	33857
Tb927.8.1120	Tb927_08_v5.1	357127	357498	-	372	2048
Tb927.8.1130	Tb927_08_v5.1	359790	364082	-	4293	904
Tb927.8.1140	Tb927_08_v5.1	365167	366222	-	1056	2327
Tb927.8.1150	Tb927_08_v5.1	367460	368488	-	1029	1207
Tb927.8.1160	Tb927_08_v5.1	369465	372773	-	3309	2545
Tb927.8.1170	Tb927_08_v5.1	373426	374421	-	996	2411
Tb927.8.1180	Tb927_08_v5.1	375582	378902	-	3321	1563
Tb927.8.1190	Tb927_08_v5.1	379555	380550	-	996	2349
Tb927.8.1200	Tb927_08_v5.1	381716	384958	-	3243	1686
Tb927.8.1210	Tb927_08_v5.1	385805	387865	-	2061	2726
Tb927.8.1220	Tb927_08_v5.1	388360	389034	-	675	1942
Tb927.8.1230	Tb927_08_v5.1	389676	390227	-	552	2596
Tb927.8.1240	Tb927_08_v5.1	391386	393080	-	1695	1304
Tb927.8.1250	Tb927_08_v5.1	394308	396719	-	2412	2187
Tb927.8.1260	Tb927_08_v5.1	397388	400492	-	3105	2664
Tb927.8.1270	Tb927_08_v5.1	401510	402970	-	1461	2505
Tb927.8.1280	Tb927_08_v5.1	405197	409378	-	4182	1074
Tb927.8.1290	Tb927_08_v5.1	414144	417464	-	3321	190
Tb927.8.1300	Tb927_08_v5.1	419851	422019	-	2169	2069
Tb927.8.1305	Tb927_08_v5.1	423631	423732	-	102	772
Tb927.8.1310	Tb927_08_v5.1	424654	425658	-	1005	3675
Tb927.8.1320	Tb927_08_v5.1	426876	427598	-	723	2942
Tb927.8.1330	Tb927_08_v5.1	428242	429072	-	831	33224
Tb927.8.1340	Tb927_08_v5.1	429328	430158	-	831	38807
Tb927.8.1350	Tb927_08_v5.1	430515	431603	-	1089	1955
Tb927.8.1360	Tb927_08_v5.1	432137	444811	-	12675	1140
Tb927.8.1370	Tb927_08_v5.1	445051	445512	-	462	1539
Tb927.8.1380	Tb927_08_v5.1	446031	447095	+	1065	2778
Tb927.8.1390	Tb927_08_v5.1	460827	461729	+	903	768
Tb927.8.1400	Tb927_08_v5.1	462702	463460	+	759	468
Tb927.8.1410	Tb927_08_v5.1	464033	466366	+	2334	2288
Tb927.8.1420	Tb927_08_v5.1	466770	468329	+	1560	3495
Tb927.8.1430	Tb927_08_v5.1	468569	469069	+	501	1428
Tb927.8.1440	Tb927_08_v5.1	469241	469729	+	489	1610
Tb927.8.1450	Tb927_08_v5.1	470464	471897	+	1434	3421
Tb927.8.1460	Tb927_08_v5.1	472502	473725	+	1224	848
Tb927.8.1470	Tb927_08_v5.1	475945	477681	+	1737	2954
Tb927.8.1480	Tb927_08_v5.1	478123	485529	+	7407	2179
Tb927.8.1490	Tb927_08_v5.1	486195	486506	+	312	1398
Tb927.8.1500	Tb927_08_v5.1	487358	489163	+	1806	2672
Tb927.8.1510	Tb927_08_v5.1;Tb927_08_v5.1	490829;493378	492053;493862	+;+	1710	2936
Tb927.8.1520	Tb927_08_v5.1	495041	496219	+	1179	4978
Tb927.8.1530	Tb927_08_v5.1	496662	498110	+	1449	4412
Tb927.8.1540	Tb927_08_v5.1	499315	501987	+	2673	2446
Tb927.8.1550	Tb927_08_v5.1	503216	505552	+	2337	2679
Tb927.8.1560	Tb927_08_v5.1	508257	510107	+	1851	2433
Tb927.8.1570	Tb927_08_v5.1	511166	511984	+	819	1124
Tb927.8.1580	Tb927_08_v5.1	514037	514870	+	834	3501
Tb927.8.1590	Tb927_08_v5.1	516817	529731	+	12915	352
Tb927.8.1600	Tb927_08_v5.1;Tb927_08_v5.1	531183;531411	533165;533165	+;+	1983	4552
Tb927.8.1610	Tb927_08_v5.1	537142	538806	+	1665	4118
Tb927.8.1620	Tb927_08_v5.1	539335	540999	+	1665	4093
Tb927.8.1630	Tb927_08_v5.1	541528	543192	+	1665	3989
Tb927.8.1640	Tb927_08_v5.1	543721	545385	+	1665	4180
Tb927.8.1650	Tb927_08_v5.1	546659	548434	+	1776	468
Tb927.8.1660	Tb927_08_v5.1	552517	552753	+	237	57
Tb927.8.1665	Tb927_08_v5.1	555012	555359	-	348	218
Tb927.8.1670	Tb927_08_v5.1	558245	560023	-	1779	3367
Tb927.8.1680	Tb927_08_v5.1	560864	561466	-	603	2413
Tb927.8.1690	Tb927_08_v5.1	561910	563889	-	1980	3326
Tb927.8.1700	Tb927_08_v5.1;Tb927_08_v5.1	564780;564780	566789;567035	-;-	2256	2820
Tb927.8.1710	Tb927_08_v5.1	567707	568921	-	1215	1671
Tb927.8.1720	Tb927_08_v5.1	570368	572215	-	1848	2742
Tb927.8.1730	Tb927_08_v5.1	572606	572989	-	384	2736
Tb927.8.1740	Tb927_08_v5.1	574026	575789	-	1764	2588
Tb927.8.1750	Tb927_08_v5.1	576442	576816	-	375	2268
Tb927.8.1760	Tb927_08_v5.1	577011	577571	-	561	1191
Tb927.8.1770	Tb927_08_v5.1	579691	581271	-	1581	2267
Tb927.8.1780	Tb927_08_v5.1	584141	586480	-	2340	726
Tb927.8.1790	Tb927_08_v5.1	588911	589381	-	471	1256
Tb927.8.1800	Tb927_08_v5.1	589982	591487	-	1506	3455
Tb927.8.1810	Tb927_08_v5.1	591914	592852	-	939	2760
Tb927.8.1820	Tb927_08_v5.1	593275	594504	-	1230	2334
Tb927.8.1830	Tb927_08_v5.1	594809	596482	-	1674	2944
Tb927.8.1840	Tb927_08_v5.1	597457	603648	-	6192	2155
Tb927.8.1850	Tb927_08_v5.1	604175	605407	-	1233	2436
Tb927.8.1860	Tb927_08_v5.1	605805	608897	-	3093	3161
Tb927.8.1870	Tb927_08_v5.1	610513	612363	-	1851	2821
Tb927.8.1880	Tb927_08_v5.1	612941	613513	-	573	4368
Tb927.8.1890	Tb927_08_v5.1	614630	615406	-	777	3418
Tb927.8.1900	Tb927_08_v5.1	616279	617463	-	1185	1461
Tb927.8.1910	Tb927_08_v5.1	617921	619105	-	1185	3580
Tb927.8.1920	Tb927_08_v5.1	620030	620917	-	888	1345
Tb927.8.1930	Tb927_08_v5.1	621146	621931	-	786	1925
Tb927.8.1940	Tb927_08_v5.1	622214	624100	-	1887	2014
Tb927.8.1945	Tb927_08_v5.1	626551	626988	+	438	1432
Tb927.8.1950	Tb927_08_v5.1	627302	629434	+	2133	4607
Tb927.8.1960	Tb927_08_v5.1	629740	631044	+	1305	4764
Tb927.8.1970	Tb927_08_v5.1	631389	632303	+	915	1953
Tb927.8.1980	Tb927_08_v5.1	632487	633920	+	1434	4101
Tb927.8.1990	Tb927_08_v5.1	634173	634853	+	681	3282
Tb927.8.2000	Tb927_08_v5.1	635332	636120	+	789	2775
Tb927.8.2010	Tb927_08_v5.1	636421	636981	+	561	3095
Tb927.8.2020	Tb927_08_v5.1	637313	638308	+	996	3729
Tb927.8.2030	Tb927_08_v5.1	638854	640119	+	1266	4564
Tb927.8.2040	Tb927_08_v5.1	640605	641360	+	756	1778
Tb927.8.2050	Tb927_08_v5.1	642645	643754	+	1110	3161
Tb927.8.2060	Tb927_08_v5.1	644458	653307	+	8850	1480
Tb927.8.2070	Tb927_08_v5.1	654365	654964	+	600	884
Tb927.8.2080	Tb927_08_v5.1	656024	656584	+	561	767
Tb927.8.2090	Tb927_08_v5.1	657751	658335	+	585	2156
Tb927.8.2100	Tb927_08_v5.1	658652	659149	+	498	2679
Tb927.8.2110	Tb927_08_v5.1	659961	661034	+	1074	1900
Tb927.8.2120	Tb927_08_v5.1	661502	662602	+	1101	2847
Tb927.8.2130	Tb927_08_v5.1	663075	664613	+	1539	2692
Tb927.8.2140	Tb927_08_v5.1	665114	665812	+	699	2499
Tb927.8.2150	Tb927_08_v5.1	666462	666827	+	366	1480
Tb927.8.2160	Tb927_08_v5.1	667841	672586	+	4746	2055
Tb927.8.2170	Tb927_08_v5.1	673605	673919	+	315	2777
Tb927.8.2180	Tb927_08_v5.1	674373	674867	+	495	1506
Tb927.8.2185	Tb927_08_v5.1	675154	675408	+	255	1402
Tb927.8.2190	Tb927_08_v5.1	675666	676235	+	570	2538
Tb927.8.2200	Tb927_08_v5.1	676674	677243	+	570	1915
Tb927.8.2210	Tb927_08_v5.1	677937	678743	+	807	1504
Tb927.8.2220	Tb927_08_v5.1	679752	684239	+	4488	2900
Tb927.8.2230	Tb927_08_v5.1	684928	685950	+	1023	1692
Tb927.8.2240	Tb927_08_v5.1	686483	687904	+	1422	2857
Tb927.8.2250	Tb927_08_v5.1	688146	690689	+	2544	2116
Tb927.8.2260	Tb927_08_v5.1	692159	692758	+	600	557
Tb927.8.2270	Tb927_08_v5.1	693822	694421	+	600	53
Tb927.8.2280	Tb927_08_v5.1	695485	696084	+	600	590
Tb927.8.2290	Tb927_08_v5.1	697189	697848	+	660	712
Tb927.8.2300	Tb927_08_v5.1	698275	698940	+	666	1654
Tb927.8.2310	Tb927_08_v5.1	699549	699878	+	330	2134
Tb927.8.2320	Tb927_08_v5.1	700426	701040	+	615	1604
Tb927.8.2330	Tb927_08_v5.1	701686	702390	+	705	1676
Tb927.8.2340	Tb927_08_v5.1	703283	703636	+	354	906
Tb927.8.2350	Tb927_08_v5.1	704489	705568	+	1080	3305
Tb927.8.2360	Tb927_08_v5.1	705928	706488	+	561	2870
Tb927.8.2370	Tb927_08_v5.1	706861	711807	+	4947	2823
Tb927.8.2380	Tb927_08_v5.1	713071	716547	+	3477	2031
Tb927.8.2390	Tb927_08_v5.1	717543	721940	+	4398	2580
Tb927.8.2395	Tb927_08_v5.1	722552	722794	+	243	1353
Tb927.8.2400	Tb927_08_v5.1	723474	724259	+	786	1479
Tb927.8.2410	Tb927_08_v5.1	724816	725529	+	714	3321
Tb927.8.2420	Tb927_08_v5.1	725998	726915	+	918	1657
Tb927.8.2430	Tb927_08_v5.1	727545	731084	+	3540	1754
Tb927.8.2440	Tb927_08_v5.1	732010	732615	+	606	2396
Tb927.8.2450	Tb927_08_v5.1	733252	734184	+	933	1630
Tb927.8.2460	Tb927_08_v5.1	734935	735789	+	855	1634
Tb927.8.2470	Tb927_08_v5.1	736792	737076	+	285	1062
Tb927.8.2480	Tb927_08_v5.1	737566	738573	+	1008	1328
Tb927.8.2490	Tb927_08_v5.1	739775	740707	+	933	2393
Tb927.8.2500	Tb927_08_v5.1	741128	741895	+	768	2239
Tb927.8.2510	Tb927_08_v5.1	742192	742920	+	729	3028
Tb927.8.2520	Tb927_08_v5.1	743395	745416	+	2022	1883
Tb927.8.2530	Tb927_08_v5.1	748419	748763	+	345	1633
Tb927.8.2540	Tb927_08_v5.1	749535	750851	+	1317	2721
Tb927.8.2550	Tb927_08_v5.1	751686	753575	+	1890	1906
Tb927.8.2560	Tb927_08_v5.1	755590	756057	+	468	3197
Tb927.8.2570	Tb927_08_v5.1	756526	757827	+	1302	3434
Tb927.8.2580	Tb927_08_v5.1	758547	761843	+	3297	3173
Tb927.8.2590	Tb927_08_v5.1	762449	764086	+	1638	1859
Tb927.8.2600	Tb927_08_v5.1	764947	766887	+	1941	3323
Tb927.8.2610	Tb927_08_v5.1	767681	770026	+	2346	686
Tb927.8.2620	Tb927_08_v5.1	770953	773457	+	2505	2763
Tb927.8.2630	Tb927_08_v5.1	774364	776616	+	2253	2590
Tb927.8.2640	Tb927_08_v5.1	779218	782385	+	3168	3072
Tb927.8.2650	Tb927_08_v5.1	783572	784633	+	1062	3964
Tb927.8.2660	Tb927_08_v5.1	785065	790824	+	5760	907
Tb927.8.2670	Tb927_08_v5.1	794590	795876	+	1287	2802
Tb927.8.2680	Tb927_08_v5.1;Tb927_08_v5.1	796181;796316	798142;798142	+;+	1962	4782
Tb927.8.2690	Tb927_08_v5.1	800799	801998	+	1200	1569
Tb927.8.2700	Tb927_08_v5.1	803369	804088	+	720	4388
Tb927.8.2710	Tb927_08_v5.1	804397	806538	+	2142	4436
Tb927.8.2720	Tb927_08_v5.1	806882	808123	+	1242	4954
Tb927.8.2730	Tb927_08_v5.1	808373	809521	+	1149	4510
Tb927.8.2740	Tb927_08_v5.1	810553	811569	+	1017	1545
Tb927.8.2750	Tb927_08_v5.1	813493	814827	+	1335	3546
Tb927.8.2760	Tb927_08_v5.1	815551	816984	+	1434	3568
Tb927.8.2770	Tb927_08_v5.1	817353	826652	+	9300	1652
Tb927.8.2780	Tb927_08_v5.1	828598	829518	+	921	82
Tb927.8.2790	Tb927_08_v5.1	837661	837978	+	318	2217
Tb927.8.2800	Tb927_08_v5.1	838362	839459	+	1098	5548
Tb927.8.2810	Tb927_08_v5.1	839871	842477	+	2607	4905
Tb927.8.2820	Tb927_08_v5.1	842913	846791	+	3879	1570
Tb927.8.2830	Tb927_08_v5.1	848100	848813	+	714	1556
Tb927.8.2840	Tb927_08_v5.1	850288	851700	+	1413	2207
Tb927.8.2850	Tb927_08_v5.1	852053	853813	+	1761	2149
Tb927.8.2860	Tb927_08_v5.1	865608	868304	-	2697	3154
Tb927.8.2870	Tb927_08_v5.1	868587	870833	-	2247	2504
Tb927.8.2880	Tb927_08_v5.1	872795	876190	-	3396	791
Tb927.8.2890	Tb927_08_v5.1	878180	879448	+	1269	2786
Tb927.8.2900	Tb927_08_v5.1	881678	882493	+	816	1978
Tb927.8.2910	Tb927_08_v5.1	882717	884483	+	1767	4839
Tb927.8.2920	Tb927_08_v5.1	884710	886503	+	1794	2356
Tb927.8.2930	Tb927_08_v5.1	886730	888523	+	1794	5656
Tb927.8.2940	Tb927_08_v5.1	888750	890063	+	1314	2551
Tb927.8.2950	Tb927_08_v5.1	890666	892135	+	1470	2464
Tb927.8.2960	Tb927_08_v5.1	893585	895249	+	1665	3466
Tb927.8.2970	Tb927_08_v5.1	895734	896648	+	915	1742
Tb927.8.2980	Tb927_08_v5.1	898041	899291	+	1251	3227
Tb927.8.2990	Tb927_08_v5.1	899592	900554	+	963	4365
Tb927.8.3000	Tb927_08_v5.1	900940	902472	+	1533	2016
Tb927.8.3010	Tb927_08_v5.1	903463	905676	+	2214	2382
Tb927.8.3020	Tb927_08_v5.1	907278	909089	+	1812	390
Tb927.8.3040	Tb927_08_v5.1	915645	916253	+	609	1877
Tb927.8.3050	Tb927_08_v5.1	917139	918842	+	1704	1772
Tb927.8.3060	Tb927_08_v5.1	919954	921969	+	2016	2364
Tb927.8.3070	Tb927_08_v5.1	923210	923647	+	438	1403
Tb927.8.3080	Tb927_08_v5.1	924095	928009	+	3915	1752
Tb927.8.3090	Tb927_08_v5.1	928399	928806	+	408	3887
Tb927.8.3100	Tb927_08_v5.1	929087	930586	+	1500	2579
Tb927.8.3110	Tb927_08_v5.1	932090	933421	+	1332	2084
Tb927.8.3120	Tb927_08_v5.1	933683	934045	+	363	835
Tb927.8.3130	Tb927_08_v5.1	934437	935861	+	1425	2423
Tb927.8.3140	Tb927_08_v5.1	936260	937180	+	921	2048
Tb927.8.3150	Tb927_08_v5.1	937606	939276	+	1671	1854
Tb927.8.3160	Tb927_08_v5.1	941510	942022	+	513	1079
Tb927.8.3170	Tb927_08_v5.1	942936	945326	+	2391	3386
Tb927.8.3180	Tb927_08_v5.1	946308	949778	+	3471	2469
Tb927.8.3190	Tb927_08_v5.1	950350	951294	+	945	1374
Tb927.8.3200	Tb927_08_v5.1	952569	956786	+	4218	2289
Tb927.8.3210	Tb927_08_v5.1	957731	958249	+	519	2408
Tb927.8.3220	Tb927_08_v5.1	959090	961483	+	2394	1645
Tb927.8.3230	Tb927_08_v5.1	962916	964670	+	1755	5001
Tb927.8.3240	Tb927_08_v5.1	965642	966454	+	813	1110
Tb927.8.3250	Tb927_08_v5.1	967385	981409	+	14025	682
Tb927.8.3260	Tb927_08_v5.1	982395	982982	+	588	1335
Tb927.8.3270	Tb927_08_v5.1	983522	984127	+	606	1270
Tb927.8.3280	Tb927_08_v5.1	984655	985758	+	1104	2842
Tb927.8.3290	Tb927_08_v5.1	986241	992117	+	5877	4085
Tb927.8.3300	Tb927_08_v5.1	992479	994554	+	2076	3368
Tb927.8.3310	Tb927_08_v5.1	994965	996965	+	2001	2727
Tb927.8.3320	Tb927_08_v5.1	997489	998697	+	1209	1545
Tb927.8.3330	Tb927_08_v5.1	999073	999996	+	924	1489
Tb927.8.3340	Tb927_08_v5.1	1001110	1002162	+	1053	1679
Tb927.8.3350	Tb927_08_v5.1	1003838	1007011	+	3174	1137
Tb927.8.3360	Tb927_08_v5.1	1007953	1008351	+	399	1065
Tb927.8.3370	Tb927_08_v5.1	1008978	1009598	+	621	1965
Tb927.8.3380	Tb927_08_v5.1	1010209	1010937	+	729	1720
Tb927.8.3390	Tb927_08_v5.1	1012210	1012992	+	783	765
Tb927.8.3400	Tb927_08_v5.1	1013993	1014886	+	894	1564
Tb927.8.3410	Tb927_08_v5.1	1016368	1020924	+	4557	571
Tb927.8.3420	Tb927_08_v5.1	1023636	1024247	+	612	1931
Tb927.8.3430	Tb927_08_v5.1	1024803	1026308	+	1506	1990
Tb927.8.3440	Tb927_08_v5.1	1026825	1027160	+	336	631
Tb927.8.3450	Tb927_08_v5.1	1027791	1028213	+	423	2188
Tb927.8.3460	Tb927_08_v5.1	1028723	1029610	+	888	1745
Tb927.8.3470	Tb927_08_v5.1	1032469	1033173	+	705	2684
Tb927.8.3480	Tb927_08_v5.1	1033756	1035582	+	1827	2485
Tb927.8.3490	Tb927_08_v5.1	1036869	1040120	+	3252	2225
Tb927.8.3500	Tb927_08_v5.1	1040450	1043293	+	2844	1341
Tb927.8.3510	Tb927_08_v5.1	1043455	1044492	+	1038	699
Tb927.8.3520	Tb927_08_v5.1	1046956	1048728	+	1773	1373
Tb927.8.3521	Tb927_08_v5.1	1049855	1050154	+	300	488
Tb927.8.3530	Tb927_08_v5.1	1057497	1058561	-	1065	2936
Tb927.8.3540	Tb927_08_v5.1	1059272	1062178	-	2907	581
Tb927.8.3550	Tb927_08_v5.1	1065070	1066185	-	1116	714
Tb927.8.3560	Tb927_08_v5.1	1068931	1071717	-	2787	1231
Tb927.8.3570	Tb927_08_v5.1	1075177	1075887	-	711	209
Tb927.8.3580	Tb927_08_v5.1	1076641	1078083	-	1443	1438
Tb927.8.3590	Tb927_08_v5.1	1078979	1080937	-	1959	2050
Tb927.8.3600	Tb927_08_v5.1	1081477	1081815	-	339	1037
Tb927.8.3610	Tb927_08_v5.1	1082670	1084010	-	1341	2350
Tb927.8.3620	Tb927_08_v5.1	1085476	1087374	-	1899	916
Tb927.8.3630	Tb927_08_v5.1	1088840	1090738	-	1899	656
Tb927.8.3640	Tb927_08_v5.1	1091084	1092190	-	1107	2225
Tb927.8.3650	Tb927_08_v5.1	1093216	1095114	-	1899	521
Tb927.8.3660	Tb927_08_v5.1	1096057	1098966	-	2910	2294
Tb927.8.3680	Tb927_08_v5.1	1100892	1102829	-	1938	1271
Tb927.8.3690	Tb927_08_v5.1	1104950	1106263	-	1314	543
Tb927.8.3700	Tb927_08_v5.1	1107346	1111806	-	4461	825
Tb927.8.3710	Tb927_08_v5.1	1112356	1114725	-	2370	2046
