# Program:featureCounts v1.6.4; Command:"featureCounts" "-p" "-B" "-C" "-M" "-O" "-T" "8" "-t" "CDS" "-g" "gene_id" "-a" "/tmp/230576.1.all.q/genomes/tb927_11/tb927_11.gtf" "-o" "/tmp/230576.1.all.q/P_tot_3/counts.txt" "/tmp/230576.1.all.q/P_tot_3/P_tot_3_sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	/tmp/230576.1.all.q/P_tot_3/P_tot_3_sorted.bam
Tb927.8.660	Tb927_08_v5.1	184411	185391	-	981	509
Tb927.8.670	Tb927_08_v5.1	187367	188239	-	873	351
Tb927.8.680	Tb927_08_v5.1	188554	189063	-	510	491
Tb927.8.690	Tb927_08_v5.1	190379	190726	-	348	1001
Tb927.8.700	Tb927_08_v5.1	191287	194265	-	2979	2467
Tb927.8.710	Tb927_08_v5.1	196484	200617	-	4134	7471
Tb927.8.720	Tb927_08_v5.1	203348	203830	-	483	1169
Tb927.8.730	Tb927_08_v5.1	204635	205396	-	762	5144
Tb927.8.740	Tb927_08_v5.1;Tb927_08_v5.1	206119;206200	206139;206277	-;-	99	425
Tb927.8.750	Tb927_08_v5.1	207159	208259	-	1101	1633
Tb927.8.760	Tb927_08_v5.1	208921	209907	-	987	13246
Tb927.8.770	Tb927_08_v5.1	211318	213237	-	1920	2120
Tb927.8.780	Tb927_08_v5.1	213736	216813	-	3078	1926
Tb927.8.790	Tb927_08_v5.1	217610	221509	-	3900	3655
Tb927.8.800	Tb927_08_v5.1	223044	229637	-	6594	2749
Tb927.8.810	Tb927_08_v5.1	231908	232909	-	1002	1597
Tb927.8.820	Tb927_08_v5.1	233701	235362	-	1662	1158
Tb927.8.830	Tb927_08_v5.1	237154	241713	-	4560	3052
Tb927.8.840	Tb927_08_v5.1	242762	246022	-	3261	2726
Tb927.8.850	Tb927_08_v5.1	247305	249641	-	2337	1549
Tb927.8.860	Tb927_08_v5.1	251405	252079	-	675	690
Tb927.8.870	Tb927_08_v5.1	257844	258734	-	891	380
Tb927.8.880	Tb927_08_v5.1	261157	263406	-	2250	1819
Tb927.8.890	Tb927_08_v5.1	266112	266738	-	627	2611
Tb927.8.900	Tb927_08_v5.1	270276	271262	-	987	2433
Tb927.8.910	Tb927_08_v5.1	283743	285140	-	1398	80
Tb927.8.920	Tb927_08_v5.1	285874	286356	-	483	634
Tb927.8.930	Tb927_08_v5.1	287095	288507	-	1413	672
Tb927.8.940	Tb927_08_v5.1	288901	295485	-	6585	4333
Tb927.8.950	Tb927_08_v5.1	297522	298934	-	1413	833
Tb927.8.960	Tb927_08_v5.1	299328	305912	-	6585	4191
Tb927.8.970	Tb927_08_v5.1	307950	309329	-	1380	601
Tb927.8.980	Tb927_08_v5.1	311464	313272	-	1809	3968
Tb927.8.990	Tb927_08_v5.1	316912	317868	-	957	4465
Tb927.8.1000	Tb927_08_v5.1	319329	320102	-	774	902
Tb927.8.1010	Tb927_08_v5.1	320857	322329	-	1473	1738
Tb927.8.1020	Tb927_08_v5.1	323522	325630	-	2109	1783
Tb927.8.1030	Tb927_08_v5.1	326869	327750	-	882	1091
Tb927.8.1040	Tb927_08_v5.1	328540	328974	-	435	922
Tb927.8.1050	Tb927_08_v5.1	330827	338788	-	7962	4330
Tb927.8.1060	Tb927_08_v5.1	339737	341962	-	2226	1749
Tb927.8.1070	Tb927_08_v5.1	342517	345171	-	2655	2056
Tb927.8.1080	Tb927_08_v5.1	345870	346460	-	591	1432
Tb927.8.1090	Tb927_08_v5.1	347671	349911	-	2241	2362
Tb927.8.1100	Tb927_08_v5.1	351667	354324	-	2658	2745
Tb927.8.1110	Tb927_08_v5.1	355680	356252	-	573	20641
Tb927.8.1120	Tb927_08_v5.1	357127	357498	-	372	1081
Tb927.8.1130	Tb927_08_v5.1	359790	364082	-	4293	934
Tb927.8.1140	Tb927_08_v5.1	365167	366222	-	1056	1120
Tb927.8.1150	Tb927_08_v5.1	367460	368488	-	1029	1366
Tb927.8.1160	Tb927_08_v5.1	369465	372773	-	3309	4643
Tb927.8.1170	Tb927_08_v5.1	373426	374421	-	996	2158
Tb927.8.1180	Tb927_08_v5.1	375582	378902	-	3321	2159
Tb927.8.1190	Tb927_08_v5.1	379555	380550	-	996	1940
Tb927.8.1200	Tb927_08_v5.1	381716	384958	-	3243	1971
Tb927.8.1210	Tb927_08_v5.1	385805	387865	-	2061	3739
Tb927.8.1220	Tb927_08_v5.1	388360	389034	-	675	2105
Tb927.8.1230	Tb927_08_v5.1	389676	390227	-	552	1654
Tb927.8.1240	Tb927_08_v5.1	391386	393080	-	1695	1096
Tb927.8.1250	Tb927_08_v5.1	394308	396719	-	2412	2692
Tb927.8.1260	Tb927_08_v5.1	397388	400492	-	3105	2015
Tb927.8.1270	Tb927_08_v5.1	401510	402970	-	1461	2583
Tb927.8.1280	Tb927_08_v5.1	405197	409378	-	4182	1443
Tb927.8.1290	Tb927_08_v5.1	414144	417464	-	3321	494
Tb927.8.1300	Tb927_08_v5.1	419851	422019	-	2169	2313
Tb927.8.1305	Tb927_08_v5.1	423631	423732	-	102	351
Tb927.8.1310	Tb927_08_v5.1	424654	425658	-	1005	1844
Tb927.8.1320	Tb927_08_v5.1	426876	427598	-	723	1446
Tb927.8.1330	Tb927_08_v5.1	428242	429072	-	831	26112
Tb927.8.1340	Tb927_08_v5.1	429328	430158	-	831	25737
Tb927.8.1350	Tb927_08_v5.1	430515	431603	-	1089	1696
Tb927.8.1360	Tb927_08_v5.1	432137	444811	-	12675	7432
Tb927.8.1370	Tb927_08_v5.1	445051	445512	-	462	581
Tb927.8.1380	Tb927_08_v5.1	446031	447095	+	1065	787
Tb927.8.1390	Tb927_08_v5.1	460827	461729	+	903	273
Tb927.8.1400	Tb927_08_v5.1	462702	463460	+	759	153
Tb927.8.1410	Tb927_08_v5.1	464033	466366	+	2334	1591
Tb927.8.1420	Tb927_08_v5.1	466770	468329	+	1560	3211
Tb927.8.1430	Tb927_08_v5.1	468569	469069	+	501	707
Tb927.8.1440	Tb927_08_v5.1	469241	469729	+	489	1158
Tb927.8.1450	Tb927_08_v5.1	470464	471897	+	1434	1990
Tb927.8.1460	Tb927_08_v5.1	472502	473725	+	1224	464
Tb927.8.1470	Tb927_08_v5.1	475945	477681	+	1737	2446
Tb927.8.1480	Tb927_08_v5.1	478123	485529	+	7407	8977
Tb927.8.1490	Tb927_08_v5.1	486195	486506	+	312	1237
Tb927.8.1500	Tb927_08_v5.1	487358	489163	+	1806	3875
Tb927.8.1510	Tb927_08_v5.1;Tb927_08_v5.1	490829;493378	492053;493862	+;+	1710	5190
Tb927.8.1520	Tb927_08_v5.1	495041	496219	+	1179	2507
Tb927.8.1530	Tb927_08_v5.1	496662	498110	+	1449	2114
Tb927.8.1540	Tb927_08_v5.1	499315	501987	+	2673	2905
Tb927.8.1550	Tb927_08_v5.1	503216	505552	+	2337	6777
Tb927.8.1560	Tb927_08_v5.1	508257	510107	+	1851	2224
Tb927.8.1570	Tb927_08_v5.1	511166	511984	+	819	1632
Tb927.8.1580	Tb927_08_v5.1	514037	514870	+	834	1358
Tb927.8.1590	Tb927_08_v5.1	516817	529731	+	12915	8055
Tb927.8.1600	Tb927_08_v5.1;Tb927_08_v5.1	531183;531411	533165;533165	+;+	1983	6219
Tb927.8.1610	Tb927_08_v5.1	537142	538806	+	1665	4195
Tb927.8.1620	Tb927_08_v5.1	539335	540999	+	1665	4025
Tb927.8.1630	Tb927_08_v5.1	541528	543192	+	1665	4091
Tb927.8.1640	Tb927_08_v5.1	543721	545385	+	1665	3965
Tb927.8.1650	Tb927_08_v5.1	546659	548434	+	1776	351
Tb927.8.1660	Tb927_08_v5.1	552517	552753	+	237	24
Tb927.8.1665	Tb927_08_v5.1	555012	555359	-	348	81
Tb927.8.1670	Tb927_08_v5.1	558245	560023	-	1779	1865
Tb927.8.1680	Tb927_08_v5.1	560864	561466	-	603	1408
Tb927.8.1690	Tb927_08_v5.1	561910	563889	-	1980	1849
Tb927.8.1700	Tb927_08_v5.1;Tb927_08_v5.1	564780;564780	566789;567035	-;-	2256	1932
Tb927.8.1710	Tb927_08_v5.1	567707	568921	-	1215	1744
Tb927.8.1720	Tb927_08_v5.1	570368	572215	-	1848	3352
Tb927.8.1730	Tb927_08_v5.1	572606	572989	-	384	889
Tb927.8.1740	Tb927_08_v5.1	574026	575789	-	1764	3954
Tb927.8.1750	Tb927_08_v5.1	576442	576816	-	375	2384
Tb927.8.1760	Tb927_08_v5.1	577011	577571	-	561	1004
Tb927.8.1770	Tb927_08_v5.1	579691	581271	-	1581	2817
Tb927.8.1780	Tb927_08_v5.1	584141	586480	-	2340	960
Tb927.8.1790	Tb927_08_v5.1	588911	589381	-	471	2318
Tb927.8.1800	Tb927_08_v5.1	589982	591487	-	1506	1695
Tb927.8.1810	Tb927_08_v5.1	591914	592852	-	939	1819
Tb927.8.1820	Tb927_08_v5.1	593275	594504	-	1230	1892
Tb927.8.1830	Tb927_08_v5.1	594809	596482	-	1674	2741
Tb927.8.1840	Tb927_08_v5.1	597457	603648	-	6192	7773
Tb927.8.1850	Tb927_08_v5.1	604175	605407	-	1233	1681
Tb927.8.1860	Tb927_08_v5.1	605805	608897	-	3093	5642
Tb927.8.1870	Tb927_08_v5.1	610513	612363	-	1851	11885
Tb927.8.1880	Tb927_08_v5.1	612941	613513	-	573	2224
Tb927.8.1890	Tb927_08_v5.1	614630	615406	-	777	6344
Tb927.8.1900	Tb927_08_v5.1	616279	617463	-	1185	685
Tb927.8.1910	Tb927_08_v5.1	617921	619105	-	1185	2250
Tb927.8.1920	Tb927_08_v5.1	620030	620917	-	888	475
Tb927.8.1930	Tb927_08_v5.1	621146	621931	-	786	801
Tb927.8.1940	Tb927_08_v5.1	622214	624100	-	1887	4088
Tb927.8.1945	Tb927_08_v5.1	626551	626988	+	438	409
Tb927.8.1950	Tb927_08_v5.1	627302	629434	+	2133	3410
Tb927.8.1960	Tb927_08_v5.1	629740	631044	+	1305	3565
Tb927.8.1970	Tb927_08_v5.1	631389	632303	+	915	806
Tb927.8.1980	Tb927_08_v5.1	632487	633920	+	1434	2355
Tb927.8.1990	Tb927_08_v5.1	634173	634853	+	681	6818
Tb927.8.2000	Tb927_08_v5.1	635332	636120	+	789	2402
Tb927.8.2010	Tb927_08_v5.1	636421	636981	+	561	1055
Tb927.8.2020	Tb927_08_v5.1	637313	638308	+	996	2280
Tb927.8.2030	Tb927_08_v5.1	638854	640119	+	1266	7546
Tb927.8.2040	Tb927_08_v5.1	640605	641360	+	756	1148
Tb927.8.2050	Tb927_08_v5.1	642645	643754	+	1110	2625
Tb927.8.2060	Tb927_08_v5.1	644458	653307	+	8850	6317
Tb927.8.2070	Tb927_08_v5.1	654365	654964	+	600	617
Tb927.8.2080	Tb927_08_v5.1	656024	656584	+	561	390
Tb927.8.2090	Tb927_08_v5.1	657751	658335	+	585	924
Tb927.8.2100	Tb927_08_v5.1	658652	659149	+	498	1391
Tb927.8.2110	Tb927_08_v5.1	659961	661034	+	1074	1158
Tb927.8.2120	Tb927_08_v5.1	661502	662602	+	1101	1746
Tb927.8.2130	Tb927_08_v5.1	663075	664613	+	1539	1390
Tb927.8.2140	Tb927_08_v5.1	665114	665812	+	699	907
Tb927.8.2150	Tb927_08_v5.1	666462	666827	+	366	1139
Tb927.8.2160	Tb927_08_v5.1	667841	672586	+	4746	6798
Tb927.8.2170	Tb927_08_v5.1	673605	673919	+	315	1091
Tb927.8.2180	Tb927_08_v5.1	674373	674867	+	495	870
Tb927.8.2185	Tb927_08_v5.1	675154	675408	+	255	629
Tb927.8.2190	Tb927_08_v5.1	675666	676235	+	570	1083
Tb927.8.2200	Tb927_08_v5.1	676674	677243	+	570	1572
Tb927.8.2210	Tb927_08_v5.1	677937	678743	+	807	1341
Tb927.8.2220	Tb927_08_v5.1	679752	684239	+	4488	3299
Tb927.8.2230	Tb927_08_v5.1	684928	685950	+	1023	993
Tb927.8.2240	Tb927_08_v5.1	686483	687904	+	1422	2354
Tb927.8.2250	Tb927_08_v5.1	688146	690689	+	2544	1521
Tb927.8.2260	Tb927_08_v5.1	692159	692758	+	600	431
Tb927.8.2270	Tb927_08_v5.1	693822	694421	+	600	32
Tb927.8.2280	Tb927_08_v5.1	695485	696084	+	600	469
Tb927.8.2290	Tb927_08_v5.1	697189	697848	+	660	402
Tb927.8.2300	Tb927_08_v5.1	698275	698940	+	666	1257
Tb927.8.2310	Tb927_08_v5.1	699549	699878	+	330	1723
Tb927.8.2320	Tb927_08_v5.1	700426	701040	+	615	1301
Tb927.8.2330	Tb927_08_v5.1	701686	702390	+	705	1821
Tb927.8.2340	Tb927_08_v5.1	703283	703636	+	354	529
Tb927.8.2350	Tb927_08_v5.1	704489	705568	+	1080	1600
Tb927.8.2360	Tb927_08_v5.1	705928	706488	+	561	1095
Tb927.8.2370	Tb927_08_v5.1	706861	711807	+	4947	5398
Tb927.8.2380	Tb927_08_v5.1	713071	716547	+	3477	2747
Tb927.8.2390	Tb927_08_v5.1	717543	721940	+	4398	3273
Tb927.8.2395	Tb927_08_v5.1	722552	722794	+	243	403
Tb927.8.2400	Tb927_08_v5.1	723474	724259	+	786	654
Tb927.8.2410	Tb927_08_v5.1	724816	725529	+	714	1436
Tb927.8.2420	Tb927_08_v5.1	725998	726915	+	918	959
Tb927.8.2430	Tb927_08_v5.1	727545	731084	+	3540	2232
Tb927.8.2440	Tb927_08_v5.1	732010	732615	+	606	798
Tb927.8.2450	Tb927_08_v5.1	733252	734184	+	933	927
Tb927.8.2460	Tb927_08_v5.1	734935	735789	+	855	2409
Tb927.8.2470	Tb927_08_v5.1	736792	737076	+	285	1044
Tb927.8.2480	Tb927_08_v5.1	737566	738573	+	1008	553
Tb927.8.2490	Tb927_08_v5.1	739775	740707	+	933	1442
Tb927.8.2500	Tb927_08_v5.1	741128	741895	+	768	1029
Tb927.8.2510	Tb927_08_v5.1	742192	742920	+	729	1410
Tb927.8.2520	Tb927_08_v5.1	743395	745416	+	2022	4132
Tb927.8.2530	Tb927_08_v5.1	748419	748763	+	345	1181
Tb927.8.2540	Tb927_08_v5.1	749535	750851	+	1317	8771
Tb927.8.2550	Tb927_08_v5.1	751686	753575	+	1890	2925
Tb927.8.2560	Tb927_08_v5.1	755590	756057	+	468	1039
Tb927.8.2570	Tb927_08_v5.1	756526	757827	+	1302	3922
Tb927.8.2580	Tb927_08_v5.1	758547	761843	+	3297	3050
Tb927.8.2590	Tb927_08_v5.1	762449	764086	+	1638	1710
Tb927.8.2600	Tb927_08_v5.1	764947	766887	+	1941	2295
Tb927.8.2610	Tb927_08_v5.1	767681	770026	+	2346	348
Tb927.8.2620	Tb927_08_v5.1	770953	773457	+	2505	2942
Tb927.8.2630	Tb927_08_v5.1	774364	776616	+	2253	3651
Tb927.8.2640	Tb927_08_v5.1	779218	782385	+	3168	8509
Tb927.8.2650	Tb927_08_v5.1	783572	784633	+	1062	2185
Tb927.8.2660	Tb927_08_v5.1	785065	790824	+	5760	930
Tb927.8.2670	Tb927_08_v5.1	794590	795876	+	1287	1290
Tb927.8.2680	Tb927_08_v5.1;Tb927_08_v5.1	796181;796316	798142;798142	+;+	1962	1880
Tb927.8.2690	Tb927_08_v5.1	800799	801998	+	1200	1131
Tb927.8.2700	Tb927_08_v5.1	803369	804088	+	720	1144
Tb927.8.2710	Tb927_08_v5.1	804397	806538	+	2142	2400
Tb927.8.2720	Tb927_08_v5.1	806882	808123	+	1242	2145
Tb927.8.2730	Tb927_08_v5.1	808373	809521	+	1149	2260
Tb927.8.2740	Tb927_08_v5.1	810553	811569	+	1017	3485
Tb927.8.2750	Tb927_08_v5.1	813493	814827	+	1335	1982
Tb927.8.2760	Tb927_08_v5.1	815551	816984	+	1434	1997
Tb927.8.2770	Tb927_08_v5.1	817353	826652	+	9300	9270
Tb927.8.2780	Tb927_08_v5.1	828598	829518	+	921	94
Tb927.8.2790	Tb927_08_v5.1	837661	837978	+	318	639
Tb927.8.2800	Tb927_08_v5.1	838362	839459	+	1098	2036
Tb927.8.2810	Tb927_08_v5.1	839871	842477	+	2607	3378
Tb927.8.2820	Tb927_08_v5.1	842913	846791	+	3879	5782
Tb927.8.2830	Tb927_08_v5.1	848100	848813	+	714	986
Tb927.8.2840	Tb927_08_v5.1	850288	851700	+	1413	1604
Tb927.8.2850	Tb927_08_v5.1	852053	853813	+	1761	1519
Tb927.8.2860	Tb927_08_v5.1	865608	868304	-	2697	2951
Tb927.8.2870	Tb927_08_v5.1	868587	870833	-	2247	1435
Tb927.8.2880	Tb927_08_v5.1	872795	876190	-	3396	1727
Tb927.8.2890	Tb927_08_v5.1	878180	879448	+	1269	1327
Tb927.8.2900	Tb927_08_v5.1	881678	882493	+	816	1362
Tb927.8.2910	Tb927_08_v5.1	882717	884483	+	1767	4064
Tb927.8.2920	Tb927_08_v5.1	884710	886503	+	1794	2030
Tb927.8.2930	Tb927_08_v5.1	886730	888523	+	1794	4825
Tb927.8.2940	Tb927_08_v5.1	888750	890063	+	1314	2031
Tb927.8.2950	Tb927_08_v5.1	890666	892135	+	1470	1429
Tb927.8.2960	Tb927_08_v5.1	893585	895249	+	1665	1982
Tb927.8.2970	Tb927_08_v5.1	895734	896648	+	915	1321
Tb927.8.2980	Tb927_08_v5.1	898041	899291	+	1251	1798
Tb927.8.2990	Tb927_08_v5.1	899592	900554	+	963	1400
Tb927.8.3000	Tb927_08_v5.1	900940	902472	+	1533	2036
Tb927.8.3010	Tb927_08_v5.1	903463	905676	+	2214	2022
Tb927.8.3020	Tb927_08_v5.1	907278	909089	+	1812	688
Tb927.8.3040	Tb927_08_v5.1	915645	916253	+	609	840
Tb927.8.3050	Tb927_08_v5.1	917139	918842	+	1704	1107
Tb927.8.3060	Tb927_08_v5.1	919954	921969	+	2016	6623
Tb927.8.3070	Tb927_08_v5.1	923210	923647	+	438	688
Tb927.8.3080	Tb927_08_v5.1	924095	928009	+	3915	4296
Tb927.8.3090	Tb927_08_v5.1	928399	928806	+	408	1705
Tb927.8.3100	Tb927_08_v5.1	929087	930586	+	1500	2776
Tb927.8.3110	Tb927_08_v5.1	932090	933421	+	1332	1246
Tb927.8.3120	Tb927_08_v5.1	933683	934045	+	363	398
Tb927.8.3130	Tb927_08_v5.1	934437	935861	+	1425	1760
Tb927.8.3140	Tb927_08_v5.1	936260	937180	+	921	1429
Tb927.8.3150	Tb927_08_v5.1	937606	939276	+	1671	7991
Tb927.8.3160	Tb927_08_v5.1	941510	942022	+	513	746
Tb927.8.3170	Tb927_08_v5.1	942936	945326	+	2391	3139
Tb927.8.3180	Tb927_08_v5.1	946308	949778	+	3471	2614
Tb927.8.3190	Tb927_08_v5.1	950350	951294	+	945	889
Tb927.8.3200	Tb927_08_v5.1	952569	956786	+	4218	5506
Tb927.8.3210	Tb927_08_v5.1	957731	958249	+	519	1497
Tb927.8.3220	Tb927_08_v5.1	959090	961483	+	2394	2253
Tb927.8.3230	Tb927_08_v5.1	962916	964670	+	1755	2757
Tb927.8.3240	Tb927_08_v5.1	965642	966454	+	813	1597
Tb927.8.3250	Tb927_08_v5.1	967385	981409	+	14025	10493
Tb927.8.3260	Tb927_08_v5.1	982395	982982	+	588	717
Tb927.8.3270	Tb927_08_v5.1	983522	984127	+	606	683
Tb927.8.3280	Tb927_08_v5.1	984655	985758	+	1104	1895
Tb927.8.3290	Tb927_08_v5.1	986241	992117	+	5877	5404
Tb927.8.3300	Tb927_08_v5.1	992479	994554	+	2076	3240
Tb927.8.3310	Tb927_08_v5.1	994965	996965	+	2001	2265
Tb927.8.3320	Tb927_08_v5.1	997489	998697	+	1209	855
Tb927.8.3330	Tb927_08_v5.1	999073	999996	+	924	612
Tb927.8.3340	Tb927_08_v5.1	1001110	1002162	+	1053	1398
Tb927.8.3350	Tb927_08_v5.1	1003838	1007011	+	3174	1862
Tb927.8.3360	Tb927_08_v5.1	1007953	1008351	+	399	312
Tb927.8.3370	Tb927_08_v5.1	1008978	1009598	+	621	722
Tb927.8.3380	Tb927_08_v5.1	1010209	1010937	+	729	2664
Tb927.8.3390	Tb927_08_v5.1	1012210	1012992	+	783	280
Tb927.8.3400	Tb927_08_v5.1	1013993	1014886	+	894	824
Tb927.8.3410	Tb927_08_v5.1	1016368	1020924	+	4557	1296
Tb927.8.3420	Tb927_08_v5.1	1023636	1024247	+	612	517
Tb927.8.3430	Tb927_08_v5.1	1024803	1026308	+	1506	907
Tb927.8.3440	Tb927_08_v5.1	1026825	1027160	+	336	330
Tb927.8.3450	Tb927_08_v5.1	1027791	1028213	+	423	1419
Tb927.8.3460	Tb927_08_v5.1	1028723	1029610	+	888	1812
Tb927.8.3470	Tb927_08_v5.1	1032469	1033173	+	705	1119
Tb927.8.3480	Tb927_08_v5.1	1033756	1035582	+	1827	1797
Tb927.8.3490	Tb927_08_v5.1	1036869	1040120	+	3252	2202
Tb927.8.3500	Tb927_08_v5.1	1040450	1043293	+	2844	967
Tb927.8.3510	Tb927_08_v5.1	1043455	1044492	+	1038	350
Tb927.8.3520	Tb927_08_v5.1	1046956	1048728	+	1773	1312
Tb927.8.3521	Tb927_08_v5.1	1049855	1050154	+	300	177
Tb927.8.3530	Tb927_08_v5.1	1057497	1058561	-	1065	17208
Tb927.8.3540	Tb927_08_v5.1	1059272	1062178	-	2907	680
Tb927.8.3550	Tb927_08_v5.1	1065070	1066185	-	1116	556
Tb927.8.3560	Tb927_08_v5.1	1068931	1071717	-	2787	1680
Tb927.8.3570	Tb927_08_v5.1	1075177	1075887	-	711	72
Tb927.8.3580	Tb927_08_v5.1	1076641	1078083	-	1443	1208
Tb927.8.3590	Tb927_08_v5.1	1078979	1080937	-	1959	1119
Tb927.8.3600	Tb927_08_v5.1	1081477	1081815	-	339	468
Tb927.8.3610	Tb927_08_v5.1	1082670	1084010	-	1341	949
Tb927.8.3620	Tb927_08_v5.1	1085476	1087374	-	1899	2195
Tb927.8.3630	Tb927_08_v5.1	1088840	1090738	-	1899	1279
Tb927.8.3640	Tb927_08_v5.1	1091084	1092190	-	1107	1649
Tb927.8.3650	Tb927_08_v5.1	1093216	1095114	-	1899	883
Tb927.8.3660	Tb927_08_v5.1	1096057	1098966	-	2910	2072
Tb927.8.3680	Tb927_08_v5.1	1100892	1102829	-	1938	981
Tb927.8.3690	Tb927_08_v5.1	1104950	1106263	-	1314	1258
Tb927.8.3700	Tb927_08_v5.1	1107346	1111806	-	4461	1209
Tb927.8.3710	Tb927_08_v5.1	1112356	1114725	-	2370	1732
Tb927.8.3720	Tb927_08_v5.1	1115380	1116474	-	1095	240
